"HOUSEHOLD EXPENDITURE SURVEY ,1995-96",,,,,,,,,,,,
RECORD LAYOUT OF DATA FILE HESBAS.DAT AND HESSHT.DAT  ,,,,,,,,,,,,
,,,,,,,,,,,,
FILE NAME : RECTYPE.DOC,,,,,,,,,,,,
,,,,,,,,,,,,
RECORD TYPE - 1,,,,,,,,,,,,
SL.NO     ,FIELD DESCRIPTION,QUESTIONNAIRE REF.                                  ,FIELD NAME,LENGTH,DATA TYPE,POSITION FROM  TO,VALUE DESCRIPTION,REMARKS,,,,
,iv) QUANTITY CONSUMED-2,"Page-47-48,,Col-6",CON2,9,  N,116  -  124,"          """,,,,,
,V) VALUE CONSUMED-2,"Page-47-48,,Col-7",CVAL2,9,  N,125  -  133,"          """,,,,,
 ,Vi)  QUANTITY SOLD-2,"Page 47-48, Col-8",QSOLD2,9,  N0,134  - 142,"          """,,,,,
,Vii) VALUE SOLD-2,"Page-47-48,,Col-9",VSOLD2,9,  N,143  -151,"          """,,,,,
   ,viii) QUANTITY NOT  SOLD-2,"Page 47-48, Col-10         ",QNSOLD2,9,  N,152  - 160,"          """,,,,,
,ix) VALUE NOT SOLD-2,"Page-47-48,,Col-11",VNSOLD2,9,  N,161 - 169,"         """,,,,,
7, B L A N K,,,51,  C, 170 -  220,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"HOUSEHOLD EXPENDITURE SURVEY ,1995-96",,,,,,,,,,,,
RECORD LAYOUT OF DATA FILE HESBAS.DAT AND HESSHT.DAT,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
RECORD TYPE - 6,,,,,,,,,,,,
SL.NO     ,FIELD DESCRIPTION,QUESTIONNAIRE REF.                                  ,FIELD NAME,LENGTH,DATA TYPE,POSITION FROM     TO,VALUE DESCRIPTION,REMARKS,,,,
1,IDENTIFICATION :-, ,, , ,,,,,,,
,I)  SURVEY MONTH,Cover page (fron),MON,2,  N,  1    -  2,,,,,,
,ii)  DIVISION CODE,          “,DIV,1,  N,  3    -  3,"CHITTAGONG=1,DHAKA=2, KHULNA=3, RAJSHAHI=4,BARISAL-5,SYLHET=6",,,,,
,iii)  REGION  CODE ,          “,REGION,2,  N,  4  -     5,,,,,,
,iv)   DISTRICT,         “,DIST,2,  N,  6    -    7,,,,,,
,v)   THANA,         “,THANA,2,  N,  8    -    9,,,,,,
,vi)   UNION/WARD,         “,UNWA,2,  N,10   -    11,,,,,,
,vii)  MOUZA/MOHALL,          “,MOUZA,3,  N,12  -    14,,,,,,
,viii)   URBAN/RURAL CODE (RMO),         “,UR,1,  N,15    -  15," RURAL=1,MUNICIPALITY=2,SMA=4,(URBAN= 2 & 4)",,,,,
,ix)  HOUSEHOLD NUMBER,           “,HHNO,3,   N , 16  -    18, ,,,,,
2,RECORD TYPE, Left top corner,RECTP   ,1,   N, 19  -   19,ALWAYS ’6’,,,,,
3,RECIRD SERIAL,          “,RECSL,2,   N, 20  -   21,"01 for 1st record, 02 for 2nd record etc.",,,,,
,OTHER INFORMATION OF EACH RECORD:-,,RECINFO,199,   C,22  -  220,,,,,,
4,ITEM INFORMATION-1:-,         ,,,,,,,,,,
,i)  ITEM CODE-1,"Page-49, Col-2",CODE1,2,  N,  22   -  23,Printed code,,,,,
,ii)  PURCHASE  QUANTITY-1,"Page-49, Col-4",QTY1,5,  N,  24  -   28 ,No decimal places,,,,,
,ii)  PURCHASE  VALUE-1,"Page-49, Col-5",VAL1,8,  N,   29  -  36 ,"          """,,,,,
5,ITEM INFORMATION-2:-,         ,,,,,,,,,,
,i)  ITEM CODE-2,"Page-49, Col-2",CODE2,2,  N,  37   -  38,Printed code,,,,,
,ii)  PURCHASE  QUANTITY-2,"Page-49, Col-4",QTY2,5,  N,  39  -   43 ,No decimal places,,,,,
,ii)  PURCHASE  VALUE-2,"Page-49, Col-5",VAL2,8,  N,  44  -  51 ,"          """,,,,,
6,ITEM INFORMATION-3:-,         ,,,,,,,,,,
,i)  ITEM CODE-3,"Page-49, Col-2",CODE3,2,  N,  52   -  53,Printed code,,,,,
,ii)  PURCHASE  QUANTITY-3,"Page-49, Col-4",QTY3,5,  N,  54  -   58 ,No decimal places,,,,,
,ii)  PURCHASE  VALUE-3,"Page-49, Col-5",VAL3,8,  N,  59  -  66 ,"          """,,,,,
7,ITEM INFORMATION-4:-,         ,,,,,,,,,,
,i)  ITEM CODE-4,"Page-49, Col-2",CODE4,2,  N,  67   -  68,Printed code,,,,,
,ii)  PURCHASE  QUANTITY-4,"Page-49, Col-4",QTY14,5,  N,  69  -   73 ,No decimal places,,,,,
,ii)  PURCHASE  VALUE-4,"Page-49, Col-5",VAL4,8,  N,  74  -  81 ,"          """,,,,,
8,ITEM INFORMATION-5:-,         ,,,,,,,,,,
,i)  ITEM CODE-5,"Page-49, Col-2",CODE5,2,  N,  82   -  83,Printed code,,,,,
,ii)  PURCHASE  QUANTITY-5,"Page-49, Col-4",QTY5,5,  N,  84  -   88 ,No decimal places,,,,,
,ii)  PURCHASE  VALUE-5,"Page-49, Col-5",VAL5,8,  N,  89  -  96 ,"          """,,,,,
9,ITEM INFORMATION-6:-,         ,,,,,,,,,,
,i)  ITEM CODE-6,"Page-49, Col-2",CODE6,2,  N,  97   -  98,Printed code,,,,,
,ii)  PURCHASE  QUANTITY-6,"Page-49, Col-4",QTY6,5,  N,  99  - 103 ,No decimal places,,,,,
,ii)  PURCHASE  VALUE-6,"Page-49, Col-5",VAL6,8,  N, 104  -111 ,"          """,,,,,
10,ITEM INFORMATION-7:-,         ,,,,,,,,,,
,i)  ITEM CODE-7,"Page-49, Col-2",CODE7,2,  N,  112 -113,Printed code,,,,,
,ii)  PURCHASE  QUANTITY-7,"Page-49, Col-4",QTY7,5,  N, 114  -118 ,No decimal places,,,,,
,ii)  PURCHASE  VALUE-7,"Page-49, Col-5",VAL7,8,  N, 119  -126 ,"          """,,,,,
11,ITEM INFORMATION-8:-,         ,,,,,,,,,,
,i)  ITEM CODE-8,"Page-49, Col-2",CODE8,2,  N, 127  -128,Printed code,,,,,
,ii)  PURCHASE  QUANTITY-8,"Page-49, Col-4",QTY8,5,  N, 129 - 133 ,No decimal places,,,,,
,ii)  PURCHASE  VALUE-8,"Page-49, Col-5",VAL8,8,  N, 134 - 141 ,"          """,,,,,
12,ITEM INFORMATION-9:-,         ,,,,,,,,,,
,i)  ITEM CODE-9,"Page-49, Col-2",CODE9,2,  N,  142 -143,Printed code,,,,,
,ii) PURCHASE  QUANTITY-9,"Page-49, Col-4",QTY9,5,  N, 144 - 148 ,No decimal places,,,,,
,ii)  PURCHASE  VALUE-9,"Page-49, Col-5",VAL9,8,  N, 149 - 156 ,"          """,,,,,
13,ITEM INFORMATION-10:-,         ,,,,,,,,,,
,i)  ITEM CODE-10,"Page-49, Col-2",CODE10,2,  N, 157 - 158,Printed code,,,,,
,ii)  PURCHASE  QUANTITY-10,"Page-49, Col-4",QTY10,5,  N, 159 - 163 ,No decimal places,,,,,
,ii)  PURCHASE  VALUE-10,"Page-49, Col-5",VAL10,8,  N, 164 - 171 ,"          """,,,,,
14,ITEM INFORMATION-11:-,         ,,,,,,,,,,
,i)  ITEM CODE-11,"Page-49, Col-2",CODE11,2,  N, 172 - 173,Printed code,,,,,
,ii)  PURCHASE  QUANTITY-11,"Page-49, Col-4",QTY11,5,  N, 174 - 178 ,No decimal places,,,,,
,ii)  PURCHASE  VALUE-11,"Page-49, Col-5",VAL11,8,  N, 179 - 186 ,"          """,,,,,
15,ITEM INFORMATION-12:-,         ,,,,,,,,,,
,i)  ITEM CODE-12,"Page-49, Col-2",CODE12,2,  N, 187 - 188,Printed code,,,,,
,ii)  PURCHASE  QUANTITY-12,"Page-49, Col-4",QTY12,5,  N, 189 - 193 ,No decimal places,,,,,
,ii)  PURCHASE  VALUE-12,"Page-49, Col-5",VAL12,8,  N, 194 - 201 ,"          """,,,,,
16,ITEM INFORMATION-13:-,         ,,,,,,,,,,
,i)  ITEM CODE-13,"Page-49, Col-2",CODE13,2,  N, 202 - 203,Printed code,,,,,
,ii)  PURCHASE  QUANTITY-13,"Page-49, Col-4",QTY13,5,  N, 204 - 208 ,No decimal places,,,,,
,ii)  PURCHASE  VALUE-13,"Page-49, Col-5",VAL13,8,  N, 209 - 216 ,"          """,,,,,
17, B L A N K,,,4, C, 217 - 220,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
" HOUSEHOLD EXPENDITURE SURVEY ,1995-96",,,,,,,,,,,,
RECORD LAYOUT OF DATA FILE HESBAS.DAT AND HESSHT.DAT,,,,,,,,,,,,
,,,,,,,,,,,,
RECORD TYPE - 7,,,,,,,,,,,,
SL.NO     ,FIELD DESCRIPTION,QUESTIONNAIRE REF.                                  ,FIELD NAME,LENGTH,DATA TYPE,POSITION FROM     TO,VALUE DESCRIPTION,REMARKS,,,,
1,IDENTIFICATION :-, ,, , ,,,,,,,
,I) SURVEY MONTH,Cover page (front),MON,2,  N,  1    -   2,,,,,,
,ii) DIVISION CODE,          “,DIV,1,  N,  3    -   3," CHITTAGONG=1,DHAKA=2, KHULNA=3,RAJSHAHI=4,BARISAL=5 SYLHET = 6",,,,,
,iii)  REGION CODE ,          “,REGION,2,  N,  4  -     5, ,,,,,
,iv)   DISTRICT,         “,DIST,2,  N,  6   -    7,,,,,,
,v)   THANA,         “,THANA,2,  N,  8   -   9,,,,,,
,vi)   UNION/WARD,         “,UNWA,2,  N,10   -   11,,,,,,
,vii) MOUZA/MOHALLA,         “,MOUZA,3,  N,12  -    14, ,,,,,
,viii)  URBAN/RURAL CODE(RMO),         “,UR,1,  N, 15    - 15,"RURAL=1, MUNICIPALITY = 2, SMA = 4, (URBAN= 2 & 4). ",,,,,
,ix)HOUSEHOLD NUMBER,         “,HHNO,3,   N , 16  -  18, ,,,,,
2,RECORD TYPE, Left top corner,RECTP   ,1,   N, 19  -  19,ALWAYS ’7’,,,,,
3,RECORD SERIAL,          “,RECSL,2,   N, 20  -  21,"01 for 1st record, 02 for 2nd record etc.",,,,,
,OTHER INFORMATION OF EACH RECORD,,RECINFO,199,  C,  22 - 220,,,,,,
4,ITEM  INFORMATION-1:-,         ,,,,,,,,,,
,i)  ITEM CODE-1,"Page 50-52, Col-2",ICODE1,2,  N,   22 -  23,Printed code,,,,,
,ii)   INCOME11,"Page-50-52, Col-3",HINC11,9,  N,   24  - 32 ,No decimal places      ,,,,,
 ,iii)  INCOME12,"Page-50-52, col-4",INC12,9,  N,   33  - 41,"           """,,,,,
  ,iv)    INCOME 13,"Page-50-52, col-5 ",INC13,9,  N  ,   42  - 50,"          """,,,,,
,v)    INCOME14,"Page 50-52, Col-6",INC14,9,  N,   51  - 59,"          """,,,,,
,vi)   INCOME15,"Page-50-52, Col-7",INC15,9,  N,   60  -  68,"          ""             ",,,,,
 ,Vii)  INCOME16,"Page-50-52, col-8",INC16,9,  N,   69  -  77,"           """,,,,,
   ,Viii)  INCOME17,"Page-50-52, col-9",INC17,9,  N,   78  -  86,"           """,,,,,
,ix)   INCOME18,"Page 50-52, Col-10",INC18,9,  N,   87  -  95,"           """,,,,,
5,ITEM  INFORMATION-2:-,         ,,,,,,,,,,
,i)  ITEM CODE-2,"Page 50-52, Col-2",ICODE2,2,  N,   96 -  97,Printed code,,,,,
,ii)   INCOME21,"Page-50-52, Col-3",HINC21,9,  N,   98  -106 ,No decimal places      ,,,,,
 ,iii)  INCOME22,"Page-50-52, col-4",INC22,9,  N,  107 -115,"           """,,,,,
  ,iv)    INCOME 23,"Page-50-52, col-5 ",INC23,9,  N  ,  116 -124,"          """,,,,,
,v)    INCOME24,"Page 50-52, Col-6",INC24,9,  N,  125 -133,"          """,,,,,
,vi)   INCOME25,"Page-50-52, Col-7",INC25,9,  N,  134 -142,"          ""             ",,,,,
 ,Vii)  INCOME26,"Page-50-52, col-8",INC26,9,  N,  143 -151,"           """,,,,,
   ,Viii)  INCOME27,"Page-50-52, col-9",INC27,9,  N,  152 -160,"           """,,,,,
,ix)   INCOME28,"Page 50-52, Col-10",INC28,9,  N,  161 -169,"           """,,,,,
7, B L A N K,,,51,  C,  170 -220  80,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"HOUSEHOLD EXPENDITURE SURVEY ,1991-92",,,,,,,,,,,,
RECORD LAYOUT OF DATA FILE HESBAS.DAT AND HESSHT.DAT,,,,,,,,,,,,
,,,,,,,,,,,,
RECORD TYPE - 8,,,,,,,,,,,,
SL.NO     ,FIELD DESCRIPTION,QUESTIONNAIRE REF.                                  ,FIELD NAME,LENGTH,DATA TYPE,POSITION FROM     TO,VALUE DESCRIPTION,REMARKS,,,,
1,IDENTIFICATION :-, ,, , ,,,,,,,
,I)   SURVEY MONTH,Cover page (front),MON,2,  N,      1    -   2,09/01/91,,,,,
,ii)  URBAN/RURAL CODE,         “,UR,1,  N,      3    -   3,"URBAN,SMA=1,OLD POURASHAVA=2, NEW POURASHAVA=3, RURAL=4",,,,,
,iii) DIVISION CODE,          “,DIV,1,  N,     4    -   4,"CHITTAGONG=1,DHAKA=2, KHULNA=3, RAJSHAHI=4,BARISAL=5",,,,,
,iv)  REGION  CODE ,          “,REGION,2,  N,     5  -     6,,,,,,
,v)   SUBSTRATUM,          “,S-STRAM,,  N,     7  -     8,,,,,,
,vi) P.S.U  CODE,           “,PSU,2,  N,     9  -    10,,,,,,
,vii)HOUSEHOLD NUMBER,           “,HHNO,2,   N ,     11-    12, ,,,,,
2,RECORD TYPE , Left top corner,RECTP   ,1,   N,     13 -   13,ALWAYS ’8’,,,,,
3,RECORD SERIAL,          “,RECSL,2,   N,     14 -   15,"01 for 1st record, 02 for 2nd record etc.",,,,,
,OTHER INFORMATION OF EACH RECORD,,RECINFO,65,   C,    16  -  80,,,,,,
4,ITEM INFORMATION-1,         ,,,,,,,,,,
,i)  ITEM CODE-1,"Page 27,28, Col-2",I-CODE1,2,  N,   16 -  17,Printed code,,,,,
,ii)  PURCHASE VALUE-1,"Page-27,28, Col-6",VAL1,8,  N,   18  - 25 ,2 dedimal places       ,,,,,
5,ITEM INFORMATION-2,         ,,,,,,,,,,
,i)  ITEM CODE-2,"Page 27,28, Col-2",I-CODE2,2,  N,   26  -  27,Printed code,,,,,
,ii)  PURCHASE VALUE-2,"Page-27,28, Col-6",VAL2,8,  N,   28  -  35,2 dicimal places,,,,,
6,ITEM INFORMATION-3,         ,,,,,,,,,,
,i)  ITEM CODE-3,"Page 27,28, Col-2",I-CODE3,2,  N,   36  -  37,Printed code,,,,,
,ii)  PURCHASE VALUE-3,"Page-27,28, Col-6",VAL3,8,  N,   38  -  45,2 decimal places,,,,,
7,ITEM INFORMATION-4,         ,,,,,,,,,,
,i)  ITEM CODE-4,"Page 27,28, Col-2",I-CODE4,2,  N,   46  -  47,Printed code,,,,,
,ii)  PURCHASE VALUE-4,"Page-27,28, Col-6",VAL4,8,  N,   48  -  55,2 decimal places,,,,,
8,ITEM INFORMATION-5,         ,,,,,,,,,,
,i)  ITEM CODE-5,"Page 27,28, Col-2",I-CODE5,2,  N,   56  -  57,Printed code,,,,,
,ii)  PURCHASE VALUE-5,"Page-27,28, Col-6",VAL5,8,  N,   58  -  65,2 decimal places,,,,,
9,ITEM INFORMATION-6,         ,,,,,,,,,,
,i)  ITEM CODE-6,"Page 27,28, Col-2",I-CODE6,2,  N,   66  -  67,Printed code,,,,,
,ii)  PURCHASE VALUE-6,"Page-27,28, Col-6",VAL6,8,  N,   68  -  75,2 decimal places,,,,,
10, B L A N K,,,5,  C,   76  -  80,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"HOUSEHOLD EXPENDITURE SURVEY ,1995-96",,,,,,,,,,,,
RECORD LAYOUT OF DATA FILE HESBAS.DAT AND HESSHT.DAT,,,,,,,,,,,,
,,,,,,,,,,,,
FILE NAME : RECTYPE.DOC,,,,,,,,,,,,
,,,,,,,,,,,,
RECORD TYPE - 9,,,,,,,,,,,,
SL.NO     ,FIELD DESCRIPTION,QUESTIONNAIRE REF.                                  ,FIELD NAME,LENGTH,DATA TYPE,POSITION FROM     TO,VALUE DESCRIPTION,REMARKS,,,,
1,IDENTIFICATION :-, ,, , ,,,,,,,
,I) SURVEY MONTH,cover page (front),MON,2,  N, 1    -   2,,,,,,
,ii)  DIVISION CODE,          “,DIV,1,  N, 3    -   3,"CHITTAGONG=1, DHAKA=2,KHULNA = 3, RAJSHAHI = 4,BARISAL-5,SYLHET=6",,,,,
,iii)  REGION CODE ,          “,REGION,2,  N, 4  -     5, ,,,,,
,iv)   DISTRICT,          “,DIST,2,,6   -    7,,,,,,
,v)   THANA,          “,THANA,2,  N,8    -   9,,,,,,
,vi)  UNION/WARD,           “,UNWA,2,  N,10  -    11, ,,,,,
,vii) MOUZA/MOHALLA(PSU),          “,MOUZA,3,  N,12    -  14,,,,,,
,viii) URBAN/RURAL CODE (RMO),          “,UR,1,  N,15    -  15,"1=RURAL, 2=MUNICIPALITY, 4=SMA (URBAN=2 & 4)",,,,,
,ix) HOUSEHOLD NUMBER,           “,HHNO,3,  N,16  -   18,01 - 20,,,,,
2,RECORD TYPE, Left top corner,RECTP,1,  N,19   -   19,ALWAYS ’9’,,,,,
3,RECORD SERIAL,          “,RECSL,2,  N,20  -    21,"01 for 1st record, 02 for 2nd record etc.",,,,,
,OTHER INFORMATION OF RECORD:,,RECINFO,199,  C,22  -   220,,,,,,
4,ITEM  INFORMATION-1,         ,,,,,,,,,,
,i)  ITEM CODE-1,"Page-6-7, Col-3",I-CODE1,3,  N,   22  -  24,Printed code,,,,,
,ii)  QUANTITY-1,"Page-6-7, Col-5,",QTY1,6,  N,   25  -  30,no decimal places,,,,,
 ,iii)  VALUE-1,"Page-6-7,Col-6,",VAL1,8,  N,   31  -  38,2 decimal places,,,,,
,iv)  PROC-TYPE-1,"Page-6-7,Col-7,",PRO1,1,  N,   39 -   39,       ,,,,,
5,ITEM  INFORMATION-2,         ,,,,,,,,,,
,i)  ITEM CODE-2,"Page-6-7, Col-3",I-CODE2,3,  N,   40  -  42,Printed code,,,,,
,ii)  QUANTITY-2,"Page-6-7, Col-5,",QTY2,6,  N,   43  -  48,No decimal places,,,,,
 ,iii)  VALUE-2,"Page-6-7,Col-6,",VAL2,8,  N,   49  -  56,2 decimal places,,,,,
,iv)  PROC-TYPE-2,"Page-6-7,Col-7,",PRO2,1,  N,   57 -   57,       ,,,,,
6,ITEM  INFORMATION-3,         ,,,,,,,,,,
,i)  ITEM CODE-3,"Page-6-7, Col-3",I-CODE3,3,  N,   58  -  60,Printed code,,,,,
,ii)  QUANTITY-3,"Page-6-7, Col-5,",QTY3,6,  N,   61  -  66,No decimal places,,,,,
 ,iii)  VALUE-3,"Page-6-7,Col-6,",VAL3,8,   N,   67  -  74,2 decimal places,,,,,
,iv)  PROC-TYPE-3,"Page-6-7,Col-7,",PRO3,1,  N,   75 -   75,       ,,,,,
7,ITEM  INFORMATION-4,         ,,,,,,,,,,
,i)  ITEM CODE-4,"Page-6-7, Col-3",I-CODE4,3,  N,   76  -  78,Printed code,,,,,
,ii)  QUANTITY-4,"Page-6-7, Col-5,",QTY4,6,  N,   79  -  84,No decimal places,,,,,
 ,iii)  VALUE-4,"Page-6-7,Col-6,",VAL4,8,  N,   85  -  92,2 decimal places,,,,,
,iv)  PROC-TYPE-4,"Page-6-7,Col-7,",PRO4,1,  N,   93 -   93,       ,,,,,
8,ITEM  INFORMATION-5,         ,,,,,,,,,,
,i)  ITEM CODE-5,"Page-6-7, Col-3",I-CODE5,3,  N,   94  - 96,Printed code,,,,,
,ii)  QUANTITY-5,"Page-6-7, Col-5,",QTY5,6,  N,   97  - 102,No decimal places,,,,,
 ,iii)  VALUE-5,"Page-6-7,Col-6,",VAL5,8,  N,  103 - 110,2 decimal places,,,,,
,iv)  PROC-TYPE-5,"Page-6-7,Col-7,",PRO5,1,  N,  111 - 111,       ,,,,,
9,ITEM  INFORMATION-6,         ,,,,,,,,,,
,i)  ITEM CODE-6,"Page-6-7, Col-3",I-CODE6,3,  N,  112 - 114,Printed code,,,,,
,ii)  QUANTITY-6,"Page-6-7, Col-5,",QTY6,6,  N,  115 - 120,No decimal places,,,,,
 ,iii)  VALUE-6,"Page-6-7,Col-6,",VAL6,8,  N,  121-  128,2 decimal places,,,,,
,iv)  PROC-TYPE-6,"Page-6-7,Col-7,",PRO6,1,  N,  129 - 129,       ,,,,,
10,ITEM  INFORMATION-7,         ,,,,,,,,,,
,i)  ITEM CODE-7,"Page-6-7, Col-3",I-CODE7,3,  N,  130 - 132,Printed code,,,,,
,ii)  QUANTITY-7,"Page-6-7, Col-5,",QTY7,6,  N,  133 - 138,No decimal places,,,,,
 ,iii)  VALUE-7,"Page-6-7,Col-6,",VAL7,8,  N,  139 - 146,2 decimal places,,,,,
,iv)  PROC-TYPE-7,"Page-6-7,Col-7,",PRO7,1,  N,  147-  147,       ,,,,,
11,ITEM  INFORMATION-8,         ,,,,,,,,,,
,i)  ITEM CODE-8,"Page-6-7, Col-3",I-CODE8,3,  N,  148 - 150,Printed code,,,,,
,ii)  QUANTITY-8,"Page-6-7, Col-5,",QTY8,6,  N,  151 - 156,No decimal places,,,,,
 ,iii)  VALUE-8,"Page-6-7,Col-6,",VAL8,8,  N,  157 - 164,2 decimal places,,,,,
,iv)  PROC-TYPE-8,"Page-6-7,Col-7,",PRO8,1,  N,  165-  165,       ,,,,,
12,ITEM  INFORMATION-9,         ,,,,,,,,,,
,i)  ITEM CODE-9,"Page-6-7, Col-3",I-CODE9,3,  N,  166 - 168,Printed code,,,,,
,ii)  QUANTITY-9,"Page-6-7, Col-5,",QTY9,6,  N,  169 - 174,No decimal places,,,,,
 ,iii)  VALUE-9,"Page-6-7,Col-6,",VAL9,8,  N,  175 - 182,2 decimal places,,,,,
,iv)  PROC-TYPE-9,"Page-6-7,Col-7,",PRO9,1,  N,  183-  183,       ,,,,,
13,ITEM  INFORMATION-10,         ,,,,,,,,,,
,i)  ITEM CODE-10,"Page-6-7, Col-3",I-CODE10,3,  N,  184 - 186,Printed code,,,,,
,ii)  QUANTITY-10,"Page-6-7, Col-5,",QTY10,6,  N,  187 - 192,No decimal places,,,,,
 ,iii)  VALUE-10,"Page-6-7,Col-6,",VAL10,8,  N,  193 - 200,2 decimal places,,,,,
,iv)  PROC-TYPE-10,"Page-6-7,Col-7,",PRO10,1,  N,  201-  201,       ,,,,,
14,ITEM  INFORMATION-11,         ,,,,,,,,,,
,i)  ITEM CODE-11,"Page-6-7, Col-3",I-CODE11,3,  N, 202  - 204,Printed code,,,,,
,ii)  QUANTITY-11,"Page-6-7, Col-5,",QTY11,6,  N, 205 - 210,No decimal places,,,,,
 ,iii)  VALUE-11,"Page-6-7,Col-6,",VAL11,8,  N, 211  - 218,2 decimal places,,,,,
,iv)  PROC-TYPE-11,"Page-6-7,Col-7,",PRO11,1,  N, 219 -  219,       ,,,,,
15,BLANK           , ,    ,1,  C,  220 - 220, ,,,,,
